Chr	Start	End	CE_start	CE_end
1	0	249250621	121500000	128900000
2	0	243199373	90500000	96800000
3	0	198022430	87900000	93900000
4	0	191154276	48200000	52700000
5	0	180915260	46100000	50700000
6	0	171115067	58700000	63300000
7	0	159138663	58000000	61700000
8	0	146364022	43100000	48100000
9	0	141213431	47300000	50700000
10	0	135534747	38000000	42300000
11	0	135006516	51600000	55700000
12	0	133851895	33300000	38200000
13	0	115169878	16300000	19500000
14	0	107349540	16100000	19100000
15	0	102531392	15800000	20700000
16	0	90354753	34600000	38600000
17	0	81195210	22200000	25800000
18	0	78077248	15400000	19000000
19	0	59128983	24400000	28600000
20	0	63025520	25600000	29400000
21	0	48129895	10900000	14300000
22	0	51304566	12200000	17900000
X	0	155270560	58100000	63000000
Y	0	59373566	11600000	13400000
