Chr	Start	End	Value
1	0	2300000	0
1	2300000	5400000	25
1	5400000	7200000	0
1	7200000	9200000	25
1	9200000	12700000	0
1	12700000	16200000	50
1	16200000	20400000	0
1	20400000	23900000	25
1	23900000	28000000	0
1	28000000	30200000	25
1	30200000	32400000	0
1	32400000	34600000	25
1	34600000	40100000	0
1	40100000	44100000	25
1	44100000	46800000	0
1	46800000	50700000	75
1	50700000	56100000	0
1	56100000	59000000	50
1	59000000	61300000	0
1	61300000	68900000	50
1	68900000	69700000	0
1	69700000	84900000	100
1	84900000	88400000	0
1	88400000	92000000	75
1	92000000	94700000	0
1	94700000	99700000	75
1	99700000	102200000	0
1	102200000	107200000	100
1	107200000	111800000	0
1	111800000	116100000	50
1	116100000	117800000	0
1	117800000	120600000	50
1	120600000	121500000	0
1	121500000	125000000	-100
1	125000000	128900000	-100
1	128900000	142600000	10
1	142600000	147000000	0
1	147000000	150300000	50
1	150300000	155000000	0
1	155000000	156500000	50
1	156500000	159100000	0
1	159100000	160500000	50
1	160500000	165500000	0
1	165500000	167200000	50
1	167200000	170900000	0
1	170900000	172900000	75
1	172900000	176000000	0
1	176000000	180300000	50
1	180300000	185800000	0
1	185800000	190800000	100
1	190800000	193800000	0
1	193800000	198700000	100
1	198700000	207200000	0
1	207200000	211500000	25
1	211500000	214500000	0
1	214500000	224100000	100
1	224100000	224600000	0
1	224600000	227000000	25
1	227000000	230700000	0
1	230700000	234700000	50
1	234700000	236600000	0
1	236600000	243700000	75
1	243700000	249250621	0
10	0	3000000	0
10	3000000	3800000	25
10	3800000	6600000	0
10	6600000	12200000	75
10	12200000	17300000	0
10	17300000	18600000	75
10	18600000	18700000	0
10	18700000	22600000	75
10	22600000	24600000	0
10	24600000	29600000	50
10	29600000	31300000	0
10	31300000	34400000	25
10	34400000	38000000	0
10	38000000	40200000	-100
10	40200000	42300000	-100
10	42300000	46100000	0
10	46100000	49900000	25
10	49900000	52900000	0
10	52900000	61200000	100
10	61200000	64500000	0
10	64500000	70600000	100
10	70600000	74900000	0
10	74900000	77700000	50
10	77700000	82000000	0
10	82000000	87900000	100
10	87900000	89500000	0
10	89500000	92900000	75
10	92900000	94100000	0
10	94100000	97000000	50
10	97000000	99300000	0
10	99300000	101900000	50
10	101900000	103000000	0
10	103000000	104900000	25
10	104900000	105800000	0
10	105800000	111900000	100
10	111900000	114900000	0
10	114900000	119100000	75
10	119100000	121700000	0
10	121700000	123100000	50
10	123100000	127500000	0
10	127500000	130600000	50
10	130600000	135534747	0
11	0	2800000	0
11	2800000	10700000	50
11	10700000	12700000	0
11	12700000	16200000	50
11	16200000	21700000	0
11	21700000	26100000	100
11	26100000	27200000	0
11	27200000	31000000	75
11	31000000	36400000	0
11	36400000	43500000	100
11	43500000	48800000	0
11	48800000	51600000	75
11	51600000	53700000	-100
11	53700000	55700000	-100
11	55700000	59900000	75
11	59900000	61700000	0
11	61700000	63400000	25
11	63400000	65900000	0
11	65900000	68400000	25
11	68400000	70400000	0
11	70400000	75200000	50
11	75200000	77100000	0
11	77100000	85600000	100
11	85600000	88300000	0
11	88300000	92800000	100
11	92800000	97200000	0
11	97200000	102100000	100
11	102100000	102900000	0
11	102900000	110400000	100
11	110400000	112500000	0
11	112500000	114500000	50
11	114500000	121200000	0
11	121200000	123900000	50
11	123900000	127800000	0
11	127800000	130800000	50
11	130800000	135006516	0
12	0	3300000	0
12	3300000	5400000	25
12	5400000	10100000	0
12	10100000	12800000	75
12	12800000	14800000	0
12	14800000	20000000	100
12	20000000	21300000	0
12	21300000	26500000	100
12	26500000	27800000	0
12	27800000	30700000	50
12	30700000	33300000	0
12	33300000	35800000	-100
