Type	Shape	Chr	Start	End	color
rare	circle	17	8191815	8193410	de3163
rare	circle	X	73524025	73524868	de3163
rare	circle	5	39284364	39424970	de3163
rare	circle	22	41255553	41258130	de3163
rare	circle	X	65241580	65259967	de3163
rare	circle	2	207516345	207583120	de3163
rare	circle	X	69748790	70128581	de3163
rare	circle	X	102965837	102968956	de3163
rare	circle	X	130677950	130679030	de3163
rare	circle	17	18427880	18430160	de3163
rare	circle	1	45959538	45965751	de3163
rare	circle	X	57313139	57515629	de3163
rare	circle	7	76018651	76039012	de3163
rare	circle	12	133264635	133291498	de3163
rare	circle	19	4502204	4517716	de3163
rare	circle	X	117629861	117820126	de3163
rare	circle	9	43624507	43630730	de3163
rare	circle	12	117348761	117468953	de3163
rare	circle	18	66567018	66569492	de3163
rare	circle	X	107224094	107225600	de3163
rare	circle	17	72363546	72368761	de3163
rare	circle	17	56232494	56233517	de3163
rare	circle	X	139865425	139866723	de3163
rare	circle	HG1443_HG1444_PATCH	135023245	135047090	de3163
rare	circle	21	31970909	31971219	de3163
rare	circle	6	40994772	41006928	de3163
rare	circle	11	5220965	5221930	de3163
rare	circle	HG1497_PATCH	153049144	153057461	de3163
rare	circle	8	6793344	6795860	de3163
rare	circle	11	56756347	56757342	de3163
rare	circle	2	131369054	131415664	de3163
rare	circle	3	126290625	126327398	de3163
rare	circle	X	15402921	15511687	de3163
rare	circle	14	51338878	51371688	de3163
rare	circle	HG1463_PATCH	115552912	115575288	de3163
rare	circle	4	96761239	96762625	de3163
rare	circle	X	108616135	108725301	de3163
rare	circle	HG1458_PATCH	142799741	142809209	de3163
rare	circle	2	160788519	160919121	de3163
rare	circle	19	40267235	40276775	de3163
rare	circle	7	23719749	23742868	de3163
rare	circle	3	111753690	111800116	de3163
rare	circle	X	135295381	135338641	de3163
rare	circle	19	36233365	36236346	de3163
rare	circle	2	128994290	129076151	de3163
rare	circle	X	100264335	100307105	de3163
rare	circle	X	84347293	84364054	de3163
rare	circle	HG1497_PATCH	153597100	153604984	de3163
rare	circle	1	55271736	55307925	de3163
rare	circle	20	31643230	31661434	de3163
rare	circle	HG1439_PATCH	100870107	100872988	de3163
rare	circle	X	47229982	47273704	de3163
rare	circle	HG1423_PATCH	37026476	37029783	de3163
rare	circle	HG953_PATCH	71035775	71047732	de3163
rare	circle	22	21562262	21581926	de3163
rare	circle	10	48001603	48055018	de3163
rare	circle	19	14903302	14946188	de3163
rare	circle	X	139037884	139047679	de3163
rare	circle	20	31749574	31769218	de3163
rare	circle	HSCHR19LRC_PGF1_CTG1	55203032	55217543	de3163
rare	circle	X	19378174	19533379	de3163
rare	circle	15	30375158	30385702	de3163
rare	circle	3	63805038	63834312	de3163
rare	circle	HSCHR6_MHC_COX	29451051	29452315	de3163
rare	circle	3	130064359	130203688	de3163
rare	circle	X	2924654	2951612	de3163
rare	circle	3	97806017	97806946	de3163
common	circle	7	64451187	64467121	32cd32
common	circle	12	55640982	55642086	32cd32
common	circle	17	6554971	6556791	32cd32
common	circle	5	111755280	111756310	32cd32
common	circle	11	5443341	5444436	32cd32
common	circle	10	1064847	1071799	32cd32
common	circle	16	88519725	88603424	32cd32
common	circle	11	6942205	6943264	32cd32
common	circle	HSCHR17_1_CTG4	39584330	39588100	32cd32
common	circle	1	35225342	35229325	32cd32
common	circle	6	30978251	31003179	32cd32
